"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belarus","BLR","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40549828178694","4.15968732551647","3.38626722228479","4.75076877222848","9.93110761802333","8.9942362361841","10.2073118837628","9.16523818061112","10.6281215975667","12.2137900845573","13.7345729252416","12.1726236492785","13.2873394895677","13.4510412738843","12.7610744686705","11.2560645679159","10.1372772691219","10.5796007106162","11.9373553046802","11.6731059690479","11.4901001553565","12.0815193587369","11.9735593323846","12.3144506562511","11.7391716932448","12.9814142035142","14.4586118998405","13.7463716694365","13.1994753063365","",
"Belize","BLZ","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8738804339911","63.7474298600517","55.4219994914392","54.5653256098113","53.7890747698245","54.9068016828014","51.3164311108703","51.6368341088216","52.9641597898059","51.0525285750092","51.0130443116511","48.3841102697586","49.0740556730592","44.9790464421401","39.5251619906542","40.6186728094139","35.3549933628033","38.2046805306714","39.4584761793573","40.9602716813723","40.4527821589275","40.6555726694308","52.777303391431","50.564343311831","51.9458952105263","53.5240593036645","53.007150554064","52.3801415269275","","","","",
"Bermuda","BMU","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9451152579583","49.7102382485512","51.2282091917591","51.4954172696575","41.821417164758","42.2614764714347","36.9830061302087","33.7172207620232","39.9519478290716","40.414870878447","21.2335549582685","25.5415162454874","26.7385947964268","26.2477212882317","28.2558183112843","26.3875406205766","25.2633640004022","24.2701548757439","24.342740722365","23.255225791144","20.8305688439898","22.2160686672813","","","","","","","","","","","","","","",
"Brazil","BRA","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6386435020656","12.7820393324058","12.3040095479689","12.208164005472","11.8336467221279","10.9168674476471","11.0187333137056","11.6174497894753","11.7166367422928","11.894240988183","10.3148171855385","",
"Barbados","BRB","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2024109184121","41.5531795160383","32.6660091656437","31.8148049255059","29.5853119573114","28.1602255826608","29.0640339531658","28.4385003976893","29.7173521863485","27.6699280721045","26.9561241144577","26.3016570609813","24.3339509889089","24.7009811394992","","","","","",
"Brunei Darussalam","BRN","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","38.1220657276995","34.9628982976866","29.9251058287203","","","","43.4523098961442","51.7730496453901","47.8639607079974","47.4447328380918","43.3341787133316","39.7798742138365","31.0190504989416","30.9676442380496","25.6994343372573","34.7739387199448","40.5552523364486","37.6462660050236","42.4164795985739","37.9710847621986","39.3015209169586","36.2354219842944","38.5778876143435","37.1778840297704","39.4028532989517","39.5399374009723","31.5979547526258","35.010131843729","38.0750602864771","37.9130827575904","38.0441612595375","37.4724040723648","38.0896665658396","39.9331848756106","36.1886574406326","33.790357425751","30.4619467797366","38.7740050749802","40.3840615983684","",
"Botswana","BWA","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0756132817482","33.2972826821684","34.051724137931","34.4664031620553","32.5694005834762","30.4847986852917","30.9493711567716","","","","","","","","","","39.9515326002507","39.5429814585517","38.4337187010439","37.6649320950285","41.3529588394015","42.0442195558031","43.4343364979426","43.3972216657859","41.006746265897","43.3073444256187","43.6590953117736","43.3652068367499","43.7395063645562","50.6670245374967","49.4568930799771","",
"Central African Republic","CAF","Compensation of employees (% of expense)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4656912641883","","","","39.4741878591047","27.3874455304506","24.7183383931604","29.7313574569074","48.8255636415639","","69.4966605871073","60.7411196005384","50.4082847170459","47.8910066085624","49.1138944132945","50.2879583175504","38.6803700321848","",
